PAIS_ISO3,OMS_REGION,CASOS_ACUM_TOTAL,CASOS_ACUM_TOTAL_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_24H,MUERTES_ACUM_INFORMADAS_ULT_7_DIAS,MUERTES_ACUM_TOTAL_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_24H
SUR,Americas,82588,14078.332,0,0.0,0,1408,240.014,0,0.0,0
NCL,Western Pacific,80064,28043.629,0,0.0,0,314,109.983,0,0.0,0
PYF,Western Pacific,78590,27977.131,0,0.0,0,649,231.036,0,0.0,0
SWZ,Africa,74882,6454.432,0,0.0,0,1427,123.0,0,0.0,0
GUY,Americas,73385,9329.962,0,0.0,0,1299,165.151,0,0.0,0
BLZ,Americas,70782,17801.06,0,0.0,0,688,173.026,0,0.0,0
FJI,Western Pacific,69047,7702.313,0,0.0,0,885,98.723,0,0.0,0
MDG,Africa,68330,246.759,0,0.0,0,1425,5.146,0,0.0,0
JEY,Europe,66391,61589.484,0,0.0,0,161,149.356,0,0.0,0
CPV,Africa,64238,11553.867,0,0.0,0,415,74.642,0,0.0,0
Z99,Eastern Mediterranean,63993,145.939,0,0.0,0,5046,11.508,0,0.0,0
MRT,Africa,63730,1370.638,0,0.0,0,997,21.442,0,0.0,0
BTN,South-East Asia,62697,8125.499,0,0.0,0,21,2.722,0,0.0,0
SYR,Eastern Mediterranean,57423,328.119,0,0.0,0,3163,18.074,0,0.0,0
BDI,Africa,54241,456.16,0,0.0,0,15,0.126,0,0.0,0
GUM,Western Pacific,51933,30770.553,0,0.0,0,416,246.482,0,0.0,0
SYC,Africa,50937,51793.141,0,0.0,0,172,174.891,0,0.0,0
GAB,Africa,48992,2201.162,0,0.0,0,307,13.793,0,0.0,0
AND,Europe,48015,62143.273,0,0.0,0,159,205.785,0,0.0,0
PNG,Western Pacific,46864,523.794,0,0.0,0,670,7.489,0,0.0,0
CUW,Americas,45883,27961.583,0,0.0,0,305,185.87,0,0.0,0
