,Province_State,Confirmed,Deaths,Recovered,Active,ISO3,Date
9816,Guam,44344,322,,,GUM,26.02.2022
9817,Hawaii,235780,1330,,,USA,26.02.2022
9818,Idaho,423638,4730,,,USA,26.02.2022
9819,Illinois,3026740,36792,,,USA,26.02.2022
9820,Indiana,1680331,22800,,,USA,26.02.2022
9821,Iowa,748849,9085,,,USA,26.02.2022
9822,Kansas,765740,7934,,,USA,26.02.2022
9823,Kentucky,1274681,13758,,,USA,26.02.2022
9824,Louisiana,1225637,16606,,,USA,26.02.2022
9825,Maine,226120,2064,,,USA,26.02.2022
9826,Maryland,1001509,14105,,,USA,26.02.2022
9827,Massachusetts,1669594,19614,,,USA,26.02.2022
9828,Michigan,2357955,34477,,,USA,26.02.2022
9829,Minnesota,1412497,12261,,,USA,26.02.2022
9830,Mississippi,789056,12008,,,USA,26.02.2022
9831,Missouri,1400387,19048,,,USA,26.02.2022
9832,Montana,265797,3172,,,USA,26.02.2022
9833,Nebraska,453569,3956,,,USA,26.02.2022
9834,Nevada,681387,9663,,,USA,26.02.2022
9835,New Hampshire,297729,2373,,,USA,26.02.2022
9836,New Jersey,2165484,32888,,,USA,26.02.2022
9837,New Mexico,510783,6903,,,USA,26.02.2022
9838,New York,4921916,67300,,,USA,26.02.2022
9839,North Carolina,2583404,22500,,,USA,26.02.2022
9840,North Dakota,237738,2239,,,USA,26.02.2022
9841,Northern Mariana Islands,9534,29,,,MNP,26.02.2022
9842,Ohio,2652634,37972,,,USA,26.02.2022
9843,Oklahoma,1019489,14541,,,USA,26.02.2022
9844,Oregon,692261,6582,,,USA,26.02.2022
9845,Pennsylvania,2755730,43203,,,USA,26.02.2022
9846,Puerto Rico,473558,4104,,,PRI,26.02.2022
9847,Rhode Island,355509,3406,,,USA,26.02.2022
9848,South Carolina,1459070,16790,,,USA,26.02.2022
9849,South Dakota,235787,2802,,,USA,26.02.2022
9850,Tennessee,2003363,24422,,,USA,26.02.2022
9851,Texas,6586244,84672,,,USA,26.02.2022
9852,Utah,921956,4408,,,USA,26.02.2022
9853,Vermont,112023,595,,,USA,26.02.2022
9854,Virgin Islands,15395,109,,,VIR,26.02.2022
