PAIS_ISO2,MES,AverageTemperature
DO,10,27.148923076923076
DO,11,26.24015384615385
DO,12,25.160923076923076
DZ,1,12.530642857142857
DZ,2,15.049142857142856
DZ,3,20.128714285714288
DZ,4,24.147428571428573
DZ,5,28.684714285714286
DZ,6,32.76264285714286
DZ,7,35.04507142857143
DZ,8,34.05614285714286
DZ,9,30.698
DZ,10,25.30561538461539
DZ,11,18.56230769230769
DZ,12,13.907692307692308
EC,1,22.755714285714284
EC,2,22.81907142857143
EC,3,22.91464285714286
EC,4,22.824428571428573
EC,5,22.737428571428573
EC,6,22.107142857142858
EC,7,21.818214285714287
EC,8,21.967785714285714
EC,9,22.217538461538464
EC,10,22.282076923076925
EC,11,22.503
EC,12,22.596692307692308
EE,1,-4.662857142857143
EE,2,-5.490428571428572
EE,3,-1.4075714285714285
EE,4,5.380571428571429
EE,5,11.629857142857142
EE,6,15.346214285714284
EE,7,18.946642857142855
EE,8,17.221214285714286
EE,9,12.386923076923077
EE,10,6.329384615384615
EE,11,1.7053076923076924
EE,12,-2.820384615384616
EG,1,13.950071428571428
EG,2,16.013214285714287
EG,3,19.67571428571429
EG,4,23.813
EG,5,27.78371428571429
EG,6,30.373857142857144
EG,7,31.44492857142857
EG,8,31.30278571428571
EG,9,29.19023076923077
EG,10,25.284
EG,11,19.978
EG,12,15.37753846153846
EH,1,17.300857142857144
EH,2,18.983571428571427
EH,3,21.696642857142855
EH,4,22.816285714285716
EH,5,24.566928571428573
EH,6,26.615285714285715
EH,7,28.26607142857143
EH,8,28.77264285714286
EH,9,27.718692307692308
EH,10,24.934307692307694
EH,11,21.303076923076922
EH,12,18.294923076923077
ER,1,23.613285714285716
ER,2,25.3355
ER,3,27.003357142857144
ER,4,28.816499999999998
ER,5,30.245714285714286
ER,6,30.526
ER,7,29.793499999999998
ER,8,29.409785714285714
ER,9,29.005692307692307
ER,10,27.798384615384617
ER,11,26.410769230769233
ER,12,24.37
ES,1,6.550285714285714
ES,2,7.665714285714286
ES,3,10.62392857142857
ES,4,12.62692857142857
ES,5,16.44892857142857
ES,6,21.239642857142858
ES,7,23.586142857142857
ES,8,23.732499999999998
ES,9,20.163615384615387
ES,10,15.48576923076923
ES,11,10.084307692307693
ES,12,7.011923076923077
ET,1,22.665785714285715
ET,2,24.11564285714286
ET,3,25.183071428571427
ET,4,25.202357142857146
ET,5,25.317642857142857
ET,6,24.446285714285718
ET,7,23.566142857142857
ET,8,23.578714285714288
ET,9,23.76707692307692
ET,10,23.267153846153846
ET,11,23.02046153846154
ET,12,22.378153846153847
FI,1,-9.019785714285714
FI,2,-9.835642857142856
FI,3,-5.4205
FI,4,1.433142857142857
FI,5,8.037785714285715
FI,6,13.047571428571429
FI,7,16.563214285714285
FI,8,14.26442857142857
FI,9,9.120538461538462
FI,10,2.9541538461538464
FI,11,-2.2321538461538464
FI,12,-6.822307692307692
FJ,1,27.0695
FJ,2,27.237
FJ,3,27.23257142857143
FJ,4,26.576785714285712
