PROVINCIA_ESTADO,CASOS_CONFIRMADOS,DEFUNCIONES,CASOS_RECUPERADOS,CASOS_ACTIVOS,PAIS_ISO3,FECHA
Rhode Island,87949,1957,5381.0,80611.0,USA,02.01.2021
South Carolina,312718,5385,152535.0,154798.0,USA,02.01.2021
South Dakota,99829,1501,92595.0,5733.0,USA,02.01.2021
Tennessee,599352,6970,523089.0,69462.0,USA,02.01.2021
Texas,1827427,28570,1443061.0,353053.0,USA,02.01.2021
Utah,281654,1294,230287.0,50073.0,USA,02.01.2021
Vermont,7689,139,5188.0,2362.0,USA,02.01.2021
Virgin Islands,2041,23,1901.0,117.0,VIR,02.01.2021
Virginia,358755,5117,31182.0,322456.0,USA,02.01.2021
Washington,246752,3461,,,USA,02.01.2021
West Virginia,89327,1373,61120.0,26834.0,USA,02.01.2021
Wisconsin,523652,5256,452502.0,65894.0,USA,02.01.2021
Wyoming,44573,438,43037.0,1098.0,USA,02.01.2021
Alabama,909541,16455,,,USA,02.01.2022
Alaska,157169,978,,,USA,02.01.2022
American Samoa,10,0,,,ASM,02.01.2022
Arizona,1390409,24355,,,USA,02.01.2022
Arkansas,572822,9196,,,USA,02.01.2022
California,5567223,76448,,,USA,02.01.2022
Colorado,1015092,10840,,,USA,02.01.2022
Connecticut,510188,9160,,,USA,02.01.2022
Delaware,186996,2286,,,USA,02.01.2022
Diamond Princess,49,0,,,USA,02.01.2022
District of Columbia,94286,1211,,,USA,02.01.2022
Florida,4209927,62504,,,USA,02.01.2022
Georgia,1839879,31443,,,USA,02.01.2022
Grand Princess,103,3,,,USA,02.01.2022
Guam,19618,270,,,GUM,02.01.2022
Hawaii,118820,1094,,,USA,02.01.2022
Idaho,319382,4162,,,USA,02.01.2022
Illinois,2149574,31017,,,USA,02.01.2022
Indiana,1246854,19037,,,USA,02.01.2022
Iowa,575501,7858,,,USA,02.01.2022
Kansas,520134,7006,,,USA,02.01.2022
Kentucky,856145,12118,,,USA,02.01.2022
Louisiana,828695,14986,,,USA,02.01.2022
Maine,146736,1531,,,USA,02.01.2022
Maryland,747005,11870,,,USA,02.01.2022
Massachusetts,1140614,16706,,,USA,02.01.2022
Michigan,1710325,29020,,,USA,02.01.2022
Minnesota,1022212,10656,,,USA,02.01.2022
Mississippi,543737,10450,,,USA,02.01.2022
Missouri,1019379,16233,,,USA,02.01.2022
Montana,197724,2906,,,USA,02.01.2022
Nebraska,338257,3338,,,USA,02.01.2022
Nevada,484641,8419,,,USA,02.01.2022
New Hampshire,198667,1961,,,USA,02.01.2022
New Jersey,1623096,29056,,,USA,02.01.2022
New Mexico,350043,5855,,,USA,02.01.2022
New York,3552059,59682,,,USA,02.01.2022
North Carolina,1686667,19426,,,USA,02.01.2022
North Dakota,174833,2057,,,USA,02.01.2022
Northern Mariana Islands,3297,17,,,MNP,02.01.2022
Ohio,2053721,32135,,,USA,02.01.2022
Oklahoma,708938,12419,,,USA,02.01.2022
Oregon,421263,5655,,,USA,02.01.2022
