,PAIS_ISO3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
142,MDG,Africa,68049,245.744,78,0.282,0,1424,5.142,0,0.0,0
143,JEY,Europe,66391,61589.484,0,0.0,0,161,149.356,0,0.0,0
144,Z99,Eastern Mediterranean,63922,145.777,23,0.052,0,5034,11.48,8,0.018,0
145,MRT,Africa,63465,1364.939,0,0.0,0,997,21.442,0,0.0,0
146,CPV,Africa,63260,11377.964,8,1.439,0,413,74.282,0,0.0,0
147,BTN,South-East Asia,62648,8119.149,1,0.13,0,21,2.722,0,0.0,0
148,SYR,Eastern Mediterranean,57423,328.119,0,0.0,0,3163,18.074,0,0.0,0
149,BDI,Africa,53686,451.493,0,0.0,0,15,0.126,0,0.0,0
150,GUM,Western Pacific,50982,30207.08,21,12.443,0,415,245.889,0,0.0,0
151,SYC,Africa,50937,51793.141,0,0.0,0,172,174.891,0,0.0,0
152,GAB,Africa,48981,2200.667,0,0.0,0,306,13.748,0,0.0,0
153,AND,Europe,47917,62016.437,9,11.648,0,159,205.785,0,0.0,0
154,PNG,Western Pacific,46835,523.47,6,0.067,0,670,7.489,0,0.0,0
155,CUW,Americas,45787,27903.079,0,0.0,0,301,183.433,0,0.0,0
156,ABW,Americas,44082,41288.425,0,0.0,0,286,267.876,0,0.0,0
157,TZA,Africa,42942,71.888,0,0.0,0,846,1.416,0,0.0,0
158,MYT,Africa,42007,15397.614,3,1.1,0,187,68.545,0,0.0,0
159,TGO,Africa,39443,476.438,7,0.085,0,290,3.503,0,0.0,0
160,GIN,Africa,38280,291.484,0,0.0,0,467,3.556,0,0.0,0
161,IMN,Europe,38008,44698.466,0,0.0,0,116,136.419,0,0.0,0
162,BHS,Americas,37491,9533.775,0,0.0,0,833,211.828,0,0.0,0
163,GGY,Europe,35235,54655.023,0,0.0,0,67,103.928,0,0.0,0
164,FRO,Europe,34658,70926.021,0,0.0,0,28,57.301,0,0.0,0
165,LSO,Africa,34490,1609.99,0,0.0,0,706,32.956,0,0.0,0
166,HTI,Americas,34202,299.951,0,0.0,0,860,7.542,0,0.0,0
167,MLI,Africa,33107,163.485,10,0.049,0,743,3.669,0,0.0,0
168,CYM,Americas,31472,47888.01,0,0.0,0,37,56.299,0,0.0,0
169,LCA,Americas,30028,16352.715,0,0.0,0,409,222.734,0,0.0,0
170,BEN,Africa,27999,230.954,0,0.0,0,163,1.345,0,0.0,0
171,SOM,Eastern Mediterranean,27334,171.985,0,0.0,0,1361,8.563,0,0.0,0
172,FSM,Western Pacific,25703,22345.966,0,0.0,0,63,54.772,0,0.0,0
173,COG,Africa,25143,455.647,0,0.0,0,389,7.05,0,0.0,0
174,VIR,Americas,24863,23809.433,25,23.941,0,130,124.491,0,0.0,0
175,SLB,Western Pacific,24575,3577.751,0,0.0,0,153,22.275,0,0.0,0
176,SMR,Europe,23798,70121.987,24,70.717,0,123,362.426,0,0.0,0
177,TLS,South-East Asia,23423,1776.563,1,0.076,0,138,10.467,0,0.0,0
178,BFA,Africa,22056,105.515,0,0.0,0,396,1.894,0,0.0,0
179,LIE,Europe,21458,55379.771,0,0.0,0,87,224.534,0,0.0,0
180,GIB,Europe,20462,60734.321,0,0.0,0,111,329.465,0,0.0,0
181,GRD,Americas,19680,17489.758,0,0.0,0,238,211.512,0,0.0,0
182,BMU,Americas,18849,30268.335,13,20.876,0,163,261.751,2,3.212,0
183,SDN,Africa,18368,164.092,0,0.0,0,138,1.233,0,0.0,0
184,TJK,Europe,17786,186.482,0,0.0,0,125,1.311,0,0.0,0
185,GNQ,Africa,17130,1220.968,0,0.0,0,183,13.044,0,0.0,0
186,TON,Western Pacific,16814,15908.037,0,0.0,0,12,11.353,0,0.0,0
187,WSM,Western Pacific,16675,8404.145,1,0.504,0,31,15.624,0,0.0,0
188,MCO,Europe,16164,41188.462,9,22.933,0,67,170.727,0,0.0,0
189,DMA,Americas,15760,21891.625,0,0.0,0,74,102.791,0,0.0,0
190,MHL,Western Pacific,15723,26561.814,0,0.0,0,17,28.719,0,0.0,0
191,DJI,Eastern Mediterranean,15690,1588.057,0,0.0,0,189,19.13,0,0.0,0
192,NIC,Americas,15682,236.725,7,0.106,7,245,3.698,0,0.0,0
193,CAF,Africa,15367,318.173,0,0.0,0,113,2.34,0,0.0,0
194,MNP,Western Pacific,13748,23885.887,0,0.0,0,41,71.234,0,0.0,0
195,GMB,Africa,12598,521.296,0,0.0,0,372,15.393,0,0.0,0
196,MAF,Americas,12277,31757.159,0,0.0,0,46,118.989,0,0.0,0
197,VUT,Western Pacific,12014,3911.508,0,0.0,0,14,4.558,0,0.0,0
198,GRL,Europe,11971,21086.099,0,0.0,0,21,36.99,0,0.0,0
199,YEM,Eastern Mediterranean,11945,40.049,0,0.0,0,2159,7.239,0,0.0,0
200,Z99,Americas,11023,25705.424,0,0.0,0,90,209.878,0,0.0,0
201,ERI,Africa,10189,287.304,0,0.0,0,103,2.904,0,0.0,0
202,Z99,Americas,9855,47119.292,0,0.0,0,33,157.781,0,0.0,0
203,VCT,Americas,9593,8647.016,0,0.0,0,124,111.772,0,0.0,0
204,NER,Africa,9513,39.299,0,0.0,0,315,1.301,0,0.0,0
205,GNB,Africa,9230,469.004,0,0.0,0,176,8.943,0,0.0,0
206,ATG,Americas,9106,9298.573,0,0.0,0,146,149.088,0,0.0,0
207,COM,Africa,9080,1044.157,8,0.92,0,160,18.399,0,0.0,0
208,ASM,Western Pacific,8324,15080.53,0,0.0,0,34,61.598,0,0.0,0
209,LBR,Africa,8090,159.955,0,0.0,0,294,5.813,0,0.0,0
210,SLE,Africa,7762,97.305,0,0.0,0,125,1.567,0,0.0,0
211,TCD,Africa,7688,46.804,3,0.018,0,194,1.181,0,0.0,0
212,VGB,Americas,7305,24159.143,0,0.0,0,64,211.661,0,0.0,0
213,COK,Western Pacific,7037,40064.905,4,22.774,0,2,11.387,0,0.0,0
214,KNA,Americas,6598,12404.121,1,1.88,1,46,86.479,0,0.0,0
215,TCA,Americas,6565,16955.938,0,0.0,0,38,98.146,0,0.0,0
216,STP,Africa,6437,2937.137,88,40.153,0,78,35.591,1,0.456,0
217,PLW,Western Pacific,5997,33147.247,2,11.055,0,9,49.746,0,0.0,0
218,BLM,Americas,5467,55306.019,0,0.0,0,5,50.582,0,0.0,0
219,NRU,Western Pacific,5393,49778.475,0,0.0,0,1,9.23,0,0.0,0
220,KIR,Western Pacific,5014,4197.607,0,0.0,0,18,15.069,0,0.0,0
221,AIA,Americas,3904,26023.197,0,0.0,0,12,79.989,0,0.0,0
222,WLF,Western Pacific,3427,30473.057,0,0.0,0,7,62.244,0,0.0,0
223,SPM,Americas,3419,58999.137,0,0.0,0,2,34.513,0,0.0,0
224,TUV,Western Pacific,2779,23566.825,0,0.0,0,0,0.0,0,0.0,0
225,Z99,Africa,2166,35677.813,0,0.0,0,0,0.0,0,0.0,0
226,FLK,Americas,1923,55211.025,0,0.0,0,0,0.0,0,0.0,0
227,MSR,Americas,1403,28065.613,0,0.0,0,8,160.032,0,0.0,0
228,Z99,Americas,1214,38674.737,0,0.0,0,6,191.144,0,0.0,0
229,NIU,Western Pacific,747,46168.109,0,0.0,0,0,0.0,0,0.0,0
230,Z99,Americas,742,38385.929,0,0.0,0,2,103.466,0,0.0,0
231,VAT,Europe,26,3213.844,0,0.0,0,0,0.0,0,0.0,0
232,TKL,Western Pacific,5,370.37,0,0.0,0,0,0.0,0,0.0,0
233,PCN,Western Pacific,4,8000.0,0,0.0,0,0,0.0,0,0.0,0
234,PRK,South-East Asia,0,0.0,0,0.0,0,0,0.0,0,0.0,0
235,TKM,Europe,0,0.0,0,0.0,0,0,0.0,0,0.0,0
